mean_score,total_steps,std_score,max_score,min_score
140.0,113,0.0,140,140
180.0,114,0.0,180,180
120.0,115,0.0,120,120
140.0,116,0.0,140,140
80.0,117,0.0,80,80
220.0,118,0.0,220,220
40.0,119,0.0,40,40
40.0,120,0.0,40,40
120.0,121,0.0,120,120
180.0,122,0.0,180,180
220.0,123,0.0,220,220
180.0,124,0.0,180,180
80.0,125,0.0,80,80
220.0,126,0.0,220,220
120.0,127,0.0,120,120
80.0,128,0.0,80,80
140.0,129,0.0,140,140
40.0,130,0.0,40,40
180.0,131,0.0,180,180
220.0,132,0.0,220,220
80.0,133,0.0,80,80
180.0,134,0.0,180,180
40.0,135,0.0,40,40
40.0,136,0.0,40,40
120.0,137,0.0,120,120
140.0,138,0.0,140,140
40.0,139,0.0,40,40
80.0,140,0.0,80,80
80.0,141,0.0,80,80
0.0,142,0.0,0,0
80.0,143,0.0,80,80
40.0,144,0.0,40,40
140.0,145,0.0,140,140
80.0,146,0.0,80,80
80.0,147,0.0,80,80
80.0,148,0.0,80,80
80.0,149,0.0,80,80
80.0,150,0.0,80,80
0.0,151,0.0,0,0
140.0,152,0.0,140,140
120.0,153,0.0,120,120
140.0,154,0.0,140,140
120.0,155,0.0,120,120
80.0,156,0.0,80,80
80.0,157,0.0,80,80
80.0,158,0.0,80,80
180.0,159,0.0,180,180
0.0,160,0.0,0,0
220.0,161,0.0,220,220
180.0,162,0.0,180,180
120.0,163,0.0,120,120
180.0,164,0.0,180,180
80.0,165,0.0,80,80
140.0,166,0.0,140,140
80.0,167,0.0,80,80
140.0,168,0.0,140,140
280.0,169,0.0,280,280
180.0,170,0.0,180,180
220.0,171,0.0,220,220
140.0,172,0.0,140,140
220.0,173,0.0,220,220
40.0,174,0.0,40,40
180.0,175,0.0,180,180
220.0,176,0.0,220,220
180.0,177,0.0,180,180
140.0,178,0.0,140,140
80.0,179,0.0,80,80
180.0,180,0.0,180,180
80.0,181,0.0,80,80
180.0,182,0.0,180,180
220.0,183,0.0,220,220
40.0,184,0.0,40,40
80.0,185,0.0,80,80
80.0,186,0.0,80,80
80.0,187,0.0,80,80
180.0,188,0.0,180,180
180.0,189,0.0,180,180
120.0,190,0.0,120,120
140.0,191,0.0,140,140
120.0,192,0.0,120,120
40.0,193,0.0,40,40
40.0,194,0.0,40,40
140.0,195,0.0,140,140
120.0,196,0.0,120,120
180.0,197,0.0,180,180
140.0,198,0.0,140,140
160.0,199,0.0,160,160
40.0,200,0.0,40,40
