mean_score,total_steps,std_score,max_score,min_score
14.0,1,0.0,14.0,14.0
10.985333333333333,2,0.0,10.985333333333333,10.985333333333333
2.992,3,0.0,2.992,2.992
7.968,4,0.0,7.968,7.968
15.914666666666665,5,0.0,15.914666666666665,15.914666666666665
10.926666666666668,6,0.0,10.926666666666668,10.926666666666668
16.863999999999997,7,0.0,16.863999999999997,16.863999999999997
2.972,8,0.0,2.972,2.972
15.82933333333333,9,0.0,15.82933333333333,15.82933333333333
10.868,10,0.0,10.868,10.868
13.813333333333333,11,0.0,13.813333333333333,13.813333333333333
16.750666666666667,12,0.0,16.750666666666667,16.750666666666667
5.904,13,0.0,5.904,5.904
2.948,14,0.0,2.948,2.948
10.794666666666666,15,0.0,10.794666666666666,10.794666666666666
13.719999999999999,16,0.0,13.719999999999999,13.719999999999999
13.701333333333334,17,0.0,13.701333333333334,13.701333333333334
10.750666666666667,18,0.0,10.750666666666667,10.750666666666667
8.783999999999999,19,0.0,8.783999999999999,8.783999999999999
2.924,20,0.0,2.924,2.924
13.626666666666667,21,0.0,13.626666666666667,13.626666666666667
10.692,22,0.0,10.692,10.692
10.677333333333333,23,0.0,10.677333333333333,10.677333333333333
10.662666666666667,24,0.0,10.662666666666667,10.662666666666667
8.712,25,0.0,8.712,8.712
26.099999999999994,26,0.0,26.099999999999994,26.099999999999994
10.618666666666666,27,0.0,10.618666666666666,10.618666666666666
2.892,28,0.0,2.892,2.892
5.776,29,0.0,5.776,5.776
13.458666666666668,30,0.0,13.458666666666668,13.458666666666668
16.319999999999997,31,0.0,16.319999999999997,16.319999999999997
13.421333333333331,32,0.0,13.421333333333331,13.421333333333331
8.616,33,0.0,8.616,8.616
5.736,34,0.0,5.736,5.736
13.365333333333332,35,0.0,13.365333333333332,13.365333333333332
26.69333333333333,36,0.0,26.69333333333333,26.69333333333333
19.04,37,0.0,19.04,19.04
10.457333333333333,38,0.0,10.457333333333333,10.457333333333333
18.986666666666665,39,0.0,18.986666666666665,18.986666666666665
5.688,40,0.0,5.688,5.688
26.506666666666668,41,0.0,26.506666666666668,26.506666666666668
5.672000000000001,42,0.0,5.672000000000001,5.672000000000001
23.6,43,0.0,23.6,23.6
11.312,44,0.0,11.312,11.312
17.885333333333335,45,0.0,17.885333333333335,17.885333333333335
17.86,46,0.0,17.86,17.86
15.957333333333331,47,0.0,15.957333333333331,15.957333333333331
26.24533333333334,48,0.0,26.24533333333334,26.24533333333334
5.616,49,0.0,5.616,5.616
13.085333333333333,50,0.0,13.085333333333333,13.085333333333333
13.066666666666666,51,0.0,13.066666666666666,13.066666666666666
26.095999999999997,52,0.0,26.095999999999997,26.095999999999997
20.474666666666664,53,0.0,20.474666666666664,20.474666666666664
5.5760000000000005,54,0.0,5.5760000000000005,5.5760000000000005
8.352,55,0.0,8.352,8.352
12.973333333333331,56,0.0,12.973333333333331,12.973333333333331
10.178666666666667,57,0.0,10.178666666666667,10.178666666666667
2.7720000000000002,58,0.0,2.7720000000000002,2.7720000000000002
14.762666666666666,59,0.0,14.762666666666666,14.762666666666666
20.269333333333332,60,0.0,20.269333333333332,20.269333333333332
18.400000000000002,61,0.0,18.400000000000002,18.400000000000002
12.861333333333333,62,0.0,12.861333333333333,12.861333333333333
2.752,63,0.0,2.752,2.752
18.32,64,0.0,18.32,18.32
8.232,65,0.0,8.232,8.232
